Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14874571,1472,7064,02/01/2022 00:00,51 Parliament St,7525,02/01/2022 00:24,Fennings St / Queen St W,1096,Casual Member
14874572,848,7361,02/01/2022 00:02,Hocken Ave./Vaughan Rd.,7369,02/01/2022 00:16,Dupont St / Emerson Ave SMART,4518,Annual Member
14874574,502,7067,02/01/2022 00:04,Yonge St / Harbour St,7267,02/01/2022 00:13,Dundas St E / Pembroke St - SMART,4030,Casual Member
14874578,329,7409,02/01/2022 00:06,Isabella St / Church St,7026,02/01/2022 00:12,Bay St / St. Joseph St,2043,Annual Member
14874579,1742,7469,02/01/2022 00:13,Wellington St W / York St,7015,02/01/2022 00:42,King St W / Bay St (West Side),4226,Casual Member
14874581,32721,7469,02/01/2022 00:14,Wellington St W / York St,7006,02/01/2022 09:19,Bay St / College St (East Side),3663,Casual Member
14874582,565966,7469,02/01/2022 00:14,Wellington St W / York St,7469,02/07/2022 13:27,Wellington St W / York St,2560,Casual Member
14874583,1431,7469,02/01/2022 00:14,Wellington St W / York St,7015,02/01/2022 00:38,King St W / Bay St (West Side),2525,Casual Member
14874584,1459,7469,02/01/2022 00:15,Wellington St W / York St,7015,02/01/2022 00:39,King St W / Bay St (West Side),3727,Casual Member
14874585,529,7336,02/01/2022 00:17,Queen St E / Alton Av,7570,02/01/2022 00:25,Carlaw Ave / Dundas St E,886,Annual Member
14874586,1196,7398,02/01/2022 00:21,York St / Lakeshore St W - South,7453,02/01/2022 00:41,Jarvis St / Maitland Pl,4066,Annual Member
14874587,559,7250,02/01/2022 00:28,St. George St / Russell St - SMART,7281,02/01/2022 00:38,Charles St W / Balmuto St - SMART,6148,Annual Member
14874588,466,7152,02/01/2022 00:34,Ossington Ave / Bloor St W,7209,02/01/2022 00:42,Ossington Ave / Harrison St,4082,Casual Member
14874589,497,7548,02/01/2022 00:36,St Joseph St / Bay St - SMART,7599,02/01/2022 00:44,Richmond St W / York St,5487,Annual Member
14874590,571,7079,02/01/2022 00:38,McGill St / Church St,7312,02/01/2022 00:48,Amelia St. / Sumach St.,5863,Annual Member
14874591,733,7047,02/01/2022 00:42,University Ave / Gerrard St W (East Side),7534,02/01/2022 00:54,Walnut Ave / Queen St W,1949,Annual Member
14874592,715,7257,02/01/2022 00:42,Dundas St W / St. Patrick St,7207,02/01/2022 00:54,Dundas St W / Crawford St,1728,Casual Member
14874593,1477,7496,02/01/2022 00:45,Sunnyside Ave / The Queensway - SMART,7027,02/01/2022 01:10,Beverley  St / Dundas St W,1848,Annual Member
14874594,189,7418,02/01/2022 00:49,College Park - Yonge St Entrance,7391,02/01/2022 00:52,Yonge St / Dundas Sq,70,Annual Member
14874595,270,7042,02/01/2022 00:53,Sherbourne St / Wellesley St E,7312,02/01/2022 00:57,Amelia St. / Sumach St.,4712,Annual Member
